క్రియ,అర్థం,Primary sense-type,Secondary sense-type
ఉరుకొట్టు,కోతి ఉర్రుమని ధ్వనిచేయు,,
ఉరుము,"గర్జించు,మేఘధ్వని,గర్జనము 2.వీరహుంకారము",,
ఉర్రటలూగు(ట్లూగు),"మిక్కిలి యూగు,మిగుల చలించు",,
ఉర్రాడు,మిక్కిలి చలించు,,
ఉర్రూతలూగు,"మిక్కిలి ఊగు,చలించు 2.కుతూహలమగు,ఉత్సాహించు",,
ఉలవరించు,దుక్కి పదనుకలది యగు,,
ఉలికిపడు,"అదిరిపడు,త్రుల్లిపడు,కంపించు",,
ఉలియు,"మ్రోయు,శబ్ధించు;అరచు;రుతముచేయు,కూయు 2.తొలగు,పోవు",,
ఉలివాడు,"చలించు,కదలు",,
ఉలుకు(ల్కు),"భయపడు,బెదరు 2.ఉడుకు,అసూయపడు",,
ఉల్లంఘించు,"దూకు,ఎగురు",,
ఉల్లసమాడు(ములాడు),ఎత్తిపొడుపుమాటలాడు,,
ఉవ్విళులూ(ళ్ళూ)రు,"త్వరపడు;తమకించు,తహతహపడు",,
ఉసికొను,ప్రోత్సాహమొందు,,
ఉసివోవు,వ్యర్థమగు,,
ఉసుగు,"ఒరపిడినొందు,నలగు",,
ఉసురుకొను,"పెరుగు,వర్థిల్లు",,
ఊకించు,"ఉంకించు,ఉత్సహించు,పూను",,
ఊకు,"ఉంకించు,పూను",,
ఊకొట్టు,ఊ అను,,
ఊకొను,ఊ అను,,
ఊగాడు/ఊపాడు,ఊగు,,
ఊగు,"తూగు,వెనుకకు ముందుకు చలించు;చలించు,కదలు",,
ఊగులాడు,ఊగాడు,,
ఊచపడు,"ఊచవలె సన్ననగు,కృశించు,నిస్సారమగు 2.ఊచ కలదియగు",,
ఊచపొవు,"కృశించు,క్షీణించు",,
"ఊడు-ఊటు,ఊను","నాటు,గ్రుచ్చు",,
ఊదు1,"ఆధ్మానము చేయు,అగ్నిప్రజ్వలనము మున్నగువాని కొరకు నోటితో గాలిని విడుచు 2.పై కుబుకు,ఉబ్బు",,
ఊచు,(వ్యాధిచేత తలవెండ్రుకలు)రాలు,,
ఊడనిబాడు,పారిపోవు 2.తొలగిపోవు,,
ఉసుగు,"ఒరపిడినొందు,నలగు",,
ఉసురుకొను,"పెరుగు,వర్థిల్లు",,
ఊకించు,"ఉంకించు,ఉత్సహించు,పూను",,
ఊకు,"ఉంకించు,పూను",,
ఊకొట్టు,ఊ అను,,
ఊకొను,ఊ అను,,
ఊగాడు,ఊగు,,
ఊగు,"తూగు,వెనుకకు ముందుకు చలించు;చలించు,కదలు",,
ఊగులాడు,ఊగాడు,,
ఊచపడు,"ఊచవలె సన్ననగు,కృశించు,నిస్సారమగు 2.ఊచ కలదియగు",,
ఊచపొవు,"కృశించు,క్షీణించు",,
"ఊడు-ఊటు,ఊను","నాటు,గ్రుచ్చు",,
ఊదు1,"ఆధ్మానము చేయు,అగ్నిప్రజ్వలనము మున్నగువాని కొరకు నోటితో గాలిని విడుచు 2.పై కుబుకు,ఉబ్బు",,
ఊపాడు,ఊగాడు,,
ఊచు,(వ్యాధిచేత తలవెండ్రుకలు)రాలు,,
ఊటాడు,"ఊగు,ఊగాడు 2.వడకు,కంపమొందు 3.సంభ్రమించు,త్వరపడు 4.సంచరించు 5.అతిశయించు 6.తొలగు",,
ఊడనిబాడు,పారిపోవు 2.తొలగిపోవు,,
ఊడు,"క్రిందబడు,రాలు 2.వీడు,వదలు,సడలు;జారు 3.తెగు,ఖండితమగు 4.చెడిపోవు 5.నశించు;చచ్చు 6.పారిపోవు 7.ఊడదన్నుకొను,తొలగించుకొను,త్రోసి వైచికొను",,
ఊను-పూను,కలుగు,,
ఊను-ఊడు,నాటుకొను,,
ఊరబోవు,క్షీణించు,,
ఊరు,"లోపలనుండి(ద్రవము)పైకివచ్చు 2.నాను 3.తడిగలదియగు,ద్రవించు 4.ఆసక్తి గలదియగు,ఆసగొను 5.పుట్టు,కలుగు 6.పెరుగు,పెద్దదియగు",,
ఊరేగు,ఉత్సవముతో ఊరిలో విహరించు,,
ఊర్చు(రుచు)1,"ఊపిరి విడుచు,నిశ్వసించు",,
ఊర్పోవు,"ఊపిరివెడలు,స్వాసమాడు",,
ఊరడు-ఊరడిల్లు,"విరమించు,ఊరకుండు 2.ఉపశాంతి నొందు 3.స్వస్థమగు;స్వస్థచిత్తమగు",,
ఊసరిల్లు,"చిక్కు,కృశించు",,
ఎండు,"నిర్ద్రవమగు;నీరసమగు,నిస్సారమగు",,
ఎక్కు,"అధిష్ఠించు 2.పైకిపోవు;(పైకి)వ్యాపించు 3.ప్రసరించు,పాఱు 4.సంతోషకరమగు,ఇష్టమగు,నచ్చు 5.అధికముగ,అతిశయించు,హెచ్చు 6.సంభవించు,కలుగు 7.నెఱవేఱు,సిద్ధించు 8.మార్కొను,ఎదుర్కొను 9.స్పష్టపడు 10.ఆవేశించు",,
ఎగజేపు,ఆవు మొ..వి పాలు పైకిలాగి బిగబట్టు,,
ఎగదట్టు,"ఎగదాకు,పైకివచ్చి తగులు;హెచ్చగు",,
ఎగదన్ను,ఆవు మొ..వి పాలీయకుండు 2.ఎదురు తిరిగి ప్రవహించు,,
ఎగదొట్టు-ఎకదొట్టు,ఎగువకు వ్యాపించు,,
ఎగబడు,"పారు,పరుగెత్తు",,
ఎగబోయు,దుర్భోధముచేయు,,
ఎగబ్రాకు,"మీదికి బ్రాకు,ప్రాకుచునెక్కు",,
ఎగయు-నెగయు,"పైకిపోవు,ఎగురు 2.రేచు,ఉత్త్తితమగు 3.ఎత్తగు 4.ఉద్భవించు,కలుగు,పుట్టు 5.చిట్లిలేచు 6.వెడలు,ఉద్గతమగు",,
ఎగరొప్పు,వగర్చు,,
ఎగరోజు,వగర్చు,,
ఎగసిపడు,ఎగిరిపడు 2.గర్వపడు 3.కోపపడు,,
ఎగు,"క్రిందనుండి మీదికిబోవు 2.ఎత్తగు,ఉన్నతమగు 3.ఎగురు",,
ఎగుదు,"పరుగిడు;పరుగిడివచ్చు 2.దొరకు,లభించు",,
ఎగురు,"ఉడ్డీనము చేయు,ఎగయు 2.పైకి లేచు,ఉత్పతనముసేయు",,
ఎగురులాడు,దుముకులాడు,,
"ఎచ్చిరిలు(రిల్లు,ర్లు)-హెచ్చరిల్లు",వృద్ధినొందు 2.విజ్రుంభించు 3.జాగరూకుడగు,,
ఎచ్చిలు(ల్లు)-హెచ్చిల్లు,"హెచ్చు,అతిశయించు",,
ఎచ్చు-హెచ్చు,"అధికమగు 2.చెలరేగు,రెచ్చు",,
ఎడబాయు-పెడబాయు,"దూరమగు,వీడిపోవు",,
